Latitude,Longitude,Genus,Date.Planted,Diameter.Breast.Height,Useful.Life.Expectency.Value,Located.in,Year.Planted
-37.81268844,144.9784944,Platanus,14/10/1998,92,20,Park,1998
-37.81332823,144.9802506,Araucaria,2/1/2000,116,60,Park,2000
-37.81101426,144.9827419,Tilia,15/10/1998,49,60,Park,1998
-37.81509445,144.9797882,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81065002,144.98248,Grevillea,16/10/2012,NA,NA,Park,2012
-37.81316024,144.9801185,Ulmus,14/10/1998,124,10,Park,1998
-37.81099258,144.97695,Platanus,1/1/2000,18,30,Street,2000
-37.81431657,144.9770655,Ulmus,20/01/2006,9,80,Park,2006
-37.81159598,144.9814749,Magnolia,4/5/2015,NA,NA,Park,2015
-37.81550707,144.9792039,Platanus,10/12/1998,25,80,Park,1998
-37.81616947,144.9795732,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81396005,144.9787281,Brahea,13/07/2000,50,60,Park,2000
-37.81243832,144.9819116,Ulmus,15/10/1998,98,10,Park,1998
-37.81477338,144.9806619,Agathis,20/01/2006,NA,NA,Park,2006
-37.81154618,144.9827284,Phoenix,1/1/2000,110,80,Park,2000
-37.81508306,144.9798127,UNKNOWN,10/6/2015,NA,NA,Park,2015
-37.81397792,144.9832021,Acer,7/6/2012,NA,NA,Street,2012
-37.81436551,144.9820025,Quercus,5/6/2007,NA,NA,Park,2007
-37.81336424,144.9771982,Ficus,12/12/2006,14,80,Park,2006
-37.81618927,144.9798868,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81397733,144.9814689,Pyrus,13/10/1998,42,30,Park,1998
-37.81126355,144.9749411,Pistacia,15/04/2020,NA,NA,Street,2020
-37.81502383,144.9809671,Ulmus,,5,80,Park,NA
-37.81105372,144.982073,Ulmus,15/10/1998,108,5,Park,1998
-37.81528937,144.979825,Atherosperma,10/6/2015,NA,NA,Park,2015
-37.81602246,144.9786421,Pittosporum,10/12/1998,18,20,Park,1998
-37.81614685,144.9792318,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81653652,144.9808498,Pinus,10/9/1998,65,60,Park,1998
-37.81151364,144.9825491,Syagrus,1/9/2015,NA,NA,Park,2015
-37.81476001,144.9820055,Quercus,13/10/1998,59,60,Park,1998
-37.81300564,144.9767617,Butia,23/10/2013,NA,NA,Park,2013
-37.81170497,144.9820083,Thuja,15/10/1998,NA,NA,Park,1998
-37.81269071,144.9823464,Brachychiton,16/10/1998,54,60,Park,1998
-37.81580384,144.9765653,Ulmus,10/12/1998,37,30,Park,1998
-37.81482732,144.9797662,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81443902,144.9802559,Ulmus,13/10/1998,110,10,Park,1998
-37.81597292,144.9782188,Pittosporum,10/12/1998,NA,NA,Park,1998
-37.81311119,144.9769044,Cedrus,20/01/2006,15,80,Park,2006
-37.81490202,144.9798343,Nothofagus,10/6/2015,NA,NA,Park,2015
-37.81422674,144.9761956,Ginkgo,20/01/2006,NA,NA,Park,2006
-37.8159603,144.9779086,Pittosporum,10/12/1998,17,30,Park,1998
-37.81304627,144.9803729,Archontophoenix,8/5/2015,NA,NA,Park,2015
-37.81475489,144.9796576,Tilia,10/12/1998,61,30,Park,1998
-37.81196077,144.9805655,Ulmus,14/10/1998,113,20,Park,1998
-37.81465892,144.9804091,Agathis,,7,80,Park,NA
-37.81539119,144.9795513,Tilia,2/1/2000,49,30,Park,2000
-37.81158308,144.9787316,Ulmus,14/10/1998,120,10,Park,1998
-37.81237569,144.9820223,Ulmus,15/10/1998,116,20,Park,1998
-37.81355631,144.9815063,Cedrus,16/10/1998,68,20,Park,1998
-37.81531772,144.9798908,Acacia,2/9/2016,NA,NA,Park,2016
-37.81305113,144.9823381,Thuja,16/10/1998,75,60,Park,1998
-37.8148756,144.979513,Araucaria,10/12/1998,105,60,Park,1998
-37.81075998,144.98196,Grevillea,30/04/2014,NA,NA,Park,2014
-37.81359925,144.9753412,Ficus,16/10/1998,208,60,Park,1998
-37.81580793,144.9749788,Schinus,10/12/2018,NA,NA,Park,2018
-37.81299529,144.9828715,Brachychiton,14/07/2000,34,60,Park,2000
-37.8146074,144.9755355,Phoenix,1/1/2000,71,60,Park,2000
-37.81595269,144.9778595,Pittosporum,10/12/1998,11,10,Park,1998
-37.81143754,144.9826573,Grevillea,2/1/2000,60,20,Park,2000
-37.81628644,144.9771795,Platanus,20/11/1997,80,20,Street,1997
-37.81293105,144.9795871,Platanus,14/10/1998,82,10,Park,1998
-37.81481565,144.9799789,Acacia,2/9/2016,NA,NA,Park,2016
-37.81437076,144.9790191,Ulmus,10/12/1998,25,60,Park,1998
-37.81495449,144.9800242,Ulmus,10/12/1998,130,10,Park,1998
